Washington,Arizona,Nevada,California,Oregon,Customer Lifetime Value,Response,Coverage,Education,Employed,Unemployed,Medical_Leave,Disabled,Retired,Female,Male,Income,Suburban,Rural,Urban,Married,Single,Divorced,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Corporate Auto,Personal Auto,Special Auto,Corporate L3,Personal L3,Corporate L2,Personal L1,Special L2,Corporate L1,Personal L2,Special L1,Special L3,Renew Offer Type,Agent,Call Center,Web,Branch,Total Claim Amount,Two Door,Four Door,SUV,Luxury SUV,Sports Car,Luxury Car,Vehicle Size,Activation_date
0,0,1,0,0,2566.87,No,1,1,0,0,1,0,0,0,1,25049,1,0,0,1,0,0,67,14,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,1,0,0,454.25,1,0,0,0,0,0,2,2011-02-06
0,0,0,1,0,3945.24,No,1,2,0,0,1,0,0,0,1,28855,1,0,0,1,0,0,101,12,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer3,0,1,0,0,647.44,0,0,1,0,0,0,2,2011-01-05
0,0,0,0,1,5710.33,No,1,2,1,0,0,0,0,0,1,51148,0,0,1,1,0,0,72,9,1,0,7,0,1,0,0,0,0,0,0,0,1,0,0,Offer2,0,0,0,1,308.98,0,1,0,0,0,0,2,2011-02-27
0,0,0,1,0,8162.62,No,3,1,1,0,0,0,0,1,0,66140,1,0,0,1,0,0,101,11,21,0,3,1,0,0,0,0,1,0,0,0,0,0,0,Offer1,0,1,0,0,484.8,0,1,0,0,0,0,1,2011-01-14
0,0,0,0,1,2872.05,No,1,1,1,0,0,0,0,0,1,57749,1,0,0,0,1,0,74,31,21,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,0,0,0,1,355.2,1,0,0,0,0,0,2,2011-02-19
1,0,0,0,0,3041.79,No,2,2,0,0,0,1,0,1,0,13789,1,0,0,0,0,1,79,8,49,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer4,0,1,0,0,379.2,0,1,0,0,0,0,2,2011-01-21
0,1,0,0,0,24127.5,Yes,1,2,0,0,1,0,0,0,1,14072,1,0,0,0,0,1,71,13,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,511.2,0,1,0,0,0,0,2,2011-01-26
0,0,1,0,0,2450.19,No,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,73,4,44,3,1,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,0,0,0,1,554.38,0,1,0,0,0,0,2,2011-02-24
0,0,0,1,0,2392.11,No,1,2,0,0,0,1,0,1,0,17870,1,0,0,1,0,0,61,30,91,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Offer2,0,0,0,1,439.2,0,1,0,0,0,0,2,2011-02-05
0,0,0,0,1,5802.07,No,1,2,1,0,0,0,0,0,1,97541,1,0,0,1,0,0,72,22,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,1,0,0,389.19,0,1,0,0,0,0,3,2011-01-29
0,0,0,1,0,3946.37,No,3,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,111,15,47,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,799.2,0,1,0,0,0,0,1,2011-02-28
1,0,0,0,0,5346.92,No,2,3,0,0,0,1,0,1,0,10511,0,0,1,1,0,0,139,33,64,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Offer1,0,0,0,1,516.24,0,0,1,0,0,0,2,2011-02-12
0,1,0,0,0,12902.56,No,3,2,1,0,0,0,0,1,0,86584,1,0,0,0,1,0,111,33,54,2,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,532.8,0,1,0,0,0,0,3,2011-02-02
0,0,0,0,1,3235.36,No,2,3,1,0,0,0,0,1,0,75690,1,0,0,1,0,0,80,17,44,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,384.0,0,1,0,0,0,0,1,2011-02-07
0,1,0,0,0,2454.58,No,1,2,1,0,0,0,0,0,1,23158,1,0,0,1,0,0,63,4,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer4,0,1,0,0,322.29,0,1,0,0,0,0,1,2011-02-28
0,0,1,0,0,18975.46,No,2,1,1,0,0,0,0,0,1,65999,0,0,1,1,0,0,237,1,14,0,6,1,0,0,0,0,1,0,0,0,0,0,0,Offer2,1,0,0,0,615.93,0,0,0,1,0,0,2,2011-01-22
0,0,0,1,0,4715.32,No,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,65,19,56,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,308.15,0,1,0,0,0,0,2,2011-01-25
1,0,0,0,0,5018.89,No,1,2,1,0,0,0,0,0,1,54500,1,0,0,1,0,0,63,28,17,0,6,1,0,0,0,0,1,0,0,0,0,0,0,Offer1,1,0,0,0,302.4,1,0,0,0,0,0,1,2011-01-18
0,0,0,0,1,4932.92,No,1,2,1,0,0,0,0,1,0,37260,0,1,0,1,0,0,62,19,42,0,8,1,0,0,0,0,0,0,0,1,0,0,0,Offer3,0,0,1,0,15.44,0,1,0,0,0,0,2,2011-02-13
0,1,0,0,0,5744.23,No,1,1,1,0,0,0,0,1,0,68987,0,0,1,1,0,0,71,11,40,0,6,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,0,0,0,1,204.48,0,1,0,0,0,0,2,2011-01-15
0,0,0,1,0,13891.74,No,3,2,1,0,0,0,0,0,1,42305,1,0,0,1,0,0,117,10,62,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,561.6,0,1,0,0,0,0,1,2011-01-08
0,0,0,0,1,7380.98,No,2,3,1,0,0,0,0,1,0,65706,1,0,0,1,0,0,91,19,86,0,8,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,1,0,436.8,0,1,0,0,0,0,1,2011-02-06
0,0,0,0,1,3090.03,No,2,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,90,7,79,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer3,1,0,0,0,648.0,1,0,0,0,0,0,1,2011-01-25
0,1,0,0,0,2521.63,No,1,1,1,0,0,0,0,0,1,53243,0,1,0,0,0,1,66,4,15,2,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,157.4,0,1,0,0,0,0,2,2011-02-07
0,0,1,0,0,2652.06,No,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,70,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Offer3,0,1,0,0,484.32,1,0,0,0,0,0,2,2011-01-18
0,0,0,0,1,2771.05,Yes,1,2,1,0,0,0,0,1,0,50071,0,1,0,0,1,0,71,3,32,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Offer2,1,0,0,0,18.92,1,0,0,0,0,0,2,2011-01-11
0,0,0,1,0,3939.01,Yes,2,2,1,0,0,0,0,1,0,60021,1,0,0,1,0,0,99,12,28,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer2,1,0,0,0,882.87,0,1,0,0,0,0,1,2011-01-28
0,1,0,0,0,12231.88,No,1,1,1,0,0,0,0,0,1,43244,1,0,0,1,0,0,103,15,16,0,2,0,1,0,0,0,0,0,0,0,1,0,0,Offer4,1,0,0,0,494.4,0,0,0,0,1,0,2,2011-02-08
1,0,0,0,0,2443.67,No,1,2,1,0,0,0,0,0,1,92834,1,0,0,1,0,0,61,15,56,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Offer2,0,1,0,0,292.8,0,1,0,0,0,0,3,2011-02-23
0,0,0,0,1,12819.1,No,3,4,0,0,0,1,0,1,0,10105,0,1,0,1,0,0,172,5,4,3,3,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,0,0,0,1,0.52,0,0,1,0,0,0,2,2011-01-25
0,1,0,0,0,4468.51,No,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,73,7,57,3,5,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,0,1,0,0,579.17,0,1,0,0,0,0,2,2011-01-31
0,0,0,0,1,5514.34,No,1,1,1,0,0,0,0,1,0,23218,1,0,0,0,1,0,71,7,10,0,4,0,1,0,0,0,0,0,0,0,1,0,0,Offer4,1,0,0,0,447.79,1,0,0,0,0,0,2,2011-01-02
0,0,0,1,0,3343.88,No,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,92,11,77,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Offer2,0,1,0,0,529.62,0,1,0,0,0,0,2,2011-02-07
0,1,0,0,0,2294.48,No,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,62,11,56,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer4,0,0,0,1,313.02,0,1,0,0,0,0,2,2011-01-18
0,0,0,0,1,36707.43,No,1,2,1,0,0,0,0,0,1,24804,1,0,0,1,0,0,104,1,28,0,2,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,1,0,0,0,593.83,0,0,1,0,0,0,1,2011-01-17
0,0,0,1,0,33473.35,Yes,1,2,1,0,0,0,0,1,0,33190,1,0,0,0,0,1,106,18,95,0,2,1,0,0,0,0,0,0,0,1,0,0,0,Offer1,0,0,1,0,508.8,0,0,1,0,0,0,2,2011-01-11
0,0,1,0,0,7983.43,No,1,1,1,0,0,0,0,1,0,36014,0,1,0,1,0,0,69,4,40,3,2,0,0,1,0,0,0,0,0,0,0,1,0,Offer4,0,0,0,1,173.96,0,1,0,0,0,0,2,2011-02-21
1,0,0,0,0,4854.75,No,1,2,1,0,0,0,0,0,1,29834,1,0,0,0,1,0,64,19,44,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer4,1,0,0,0,307.2,0,1,0,0,0,0,2,2011-02-16
0,0,0,1,0,4294.0,No,3,2,0,0,0,1,0,0,1,16701,1,0,0,1,0,0,113,20,26,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,0,0,0,1,831.63,0,1,0,0,0,0,1,2011-01-17
0,1,0,0,0,7164.4,No,2,2,1,0,0,0,0,1,0,46623,1,0,0,0,0,1,91,1,53,0,3,1,0,0,1,0,0,0,0,0,0,0,0,Offer3,0,1,0,0,436.8,0,1,0,0,0,0,1,2011-02-05
0,0,0,1,0,7619.52,No,1,2,1,0,0,0,0,0,1,64749,0,0,1,1,0,0,64,24,59,0,2,0,0,1,0,0,0,0,1,0,0,0,0,Offer2,0,0,0,1,302.57,0,1,0,0,0,0,2,2011-02-13
0,1,0,0,0,3958.0,No,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,101,29,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,0,1,0,0,484.8,0,0,1,0,0,0,1,2011-02-23
0,0,0,0,1,4499.49,No,2,1,0,0,0,1,0,1,0,16969,1,0,0,0,0,1,124,34,47,2,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,704.77,0,0,1,0,0,0,2,2011-01-28
0,0,0,0,1,4059.57,No,3,3,0,0,0,1,0,1,0,11621,1,0,0,0,0,1,108,4,98,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,518.4,0,1,0,0,0,0,2,2011-02-28
0,1,0,0,0,4458.11,Yes,1,2,0,0,0,0,1,0,1,17622,1,0,0,0,0,1,65,1,36,1,3,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,312.0,0,1,0,0,0,0,2,2011-01-02
0,0,0,1,0,8110.33,No,3,2,0,0,1,0,0,1,0,11489,1,0,0,1,0,0,105,4,50,0,6,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,504.0,1,0,0,0,0,0,1,2011-01-22
0,0,0,0,1,3339.76,No,2,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,94,20,53,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,863.33,1,0,0,0,0,0,1,2011-01-15
0,0,0,1,0,24261.02,No,1,1,1,0,0,0,0,1,0,66525,0,1,0,1,0,0,100,0,86,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,104.33,0,0,1,0,0,0,2,2011-01-27
0,1,0,0,0,6613.97,No,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,63,21,28,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,0,0,0,1,676.39,0,1,0,0,0,0,3,2011-01-23
1,0,0,0,0,2930.69,No,1,2,1,0,0,0,0,0,1,33663,1,0,0,1,0,0,73,29,71,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,0,0,1,0,350.4,0,1,0,0,0,0,2,2011-01-31
0,0,0,0,1,8672.19,No,1,2,1,0,0,0,0,1,0,22547,1,0,0,0,0,1,112,7,60,0,3,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,537.6,0,0,1,0,0,0,2,2011-01-26
0,1,0,0,0,11638.67,No,2,1,1,0,0,0,0,1,0,61486,0,0,1,1,0,0,97,5,65,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer4,0,0,0,1,465.26,1,0,0,0,0,0,1,2011-01-10
0,0,0,0,1,6846.15,Yes,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,95,13,20,0,5,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,456.0,1,0,0,0,0,0,3,2011-01-27
0,0,0,1,0,11727.78,No,3,2,0,0,0,1,0,1,0,29879,1,0,0,1,0,0,102,17,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,0,0,1,0,500.25,0,1,0,0,0,0,2,2011-01-09
0,0,0,0,1,22643.83,No,1,1,1,0,0,0,0,0,1,93011,0,1,0,0,0,1,113,17,12,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer4,1,0,0,0,281.45,0,0,1,0,0,0,2,2011-02-24
0,0,0,0,1,2614.47,No,1,3,1,0,0,0,0,0,1,65186,0,1,0,1,0,0,65,29,27,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer2,0,0,1,0,5.43,1,0,0,0,0,0,3,2011-02-11
0,0,0,0,1,2451.75,No,1,3,0,0,1,0,0,0,1,26840,1,0,0,1,0,0,64,1,47,2,1,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,307.2,0,1,0,0,0,0,2,2011-02-12
0,0,0,0,1,6781.27,No,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,104,30,3,1,5,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,982.4,0,0,0,0,1,0,2,2011-02-04
0,0,0,0,1,4974.8,Yes,1,2,1,0,0,0,0,0,1,75644,1,0,0,0,0,1,65,5,68,3,9,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,467.8,1,0,0,0,0,0,2,2011-01-18
0,0,0,0,1,8591.6,No,1,2,1,0,0,0,0,0,1,38984,1,0,0,1,0,0,73,27,38,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,350.4,0,1,0,0,0,0,1,2011-02-11
0,0,0,0,1,5592.16,No,1,1,1,0,0,0,0,1,0,71811,0,1,0,0,1,0,71,17,48,0,6,0,1,0,0,0,0,1,0,0,0,0,0,Offer2,0,1,0,0,29.03,0,1,0,0,0,0,2,2011-02-01
0,0,1,0,0,8009.47,No,1,2,1,0,0,0,0,0,1,20961,1,0,0,1,0,0,67,20,33,0,2,0,1,0,0,0,0,1,0,0,0,0,0,Offer2,1,0,0,0,321.6,0,1,0,0,0,0,2,2011-02-15
1,0,0,0,0,11318.09,No,2,2,1,0,0,0,0,0,1,38923,0,1,0,1,0,0,99,6,83,2,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,115.73,0,1,0,0,0,0,2,2011-02-06
0,0,0,1,0,58166.55,No,1,2,1,0,0,0,0,0,1,61321,0,1,0,0,1,0,186,0,30,1,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,427.63,0,0,0,0,0,1,1,2011-02-27
0,0,0,1,0,8025.23,No,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,77,20,26,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,0,0,0,1,25.81,1,0,0,0,0,0,3,2011-01-26
0,0,0,1,0,5780.18,Yes,1,1,1,0,0,0,0,0,1,51066,1,0,0,0,1,0,74,23,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,1,0,0,787.99,0,1,0,0,0,0,2,2011-02-26
0,0,0,1,0,4118.54,No,1,4,1,0,0,0,0,0,1,34378,1,0,0,1,0,0,102,12,54,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Offer3,0,0,0,1,489.6,0,0,1,0,0,0,2,2011-01-27
0,0,1,0,0,2523.07,No,1,3,1,0,0,0,0,0,1,43072,1,0,0,1,0,0,63,35,15,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,1,0,0,302.4,0,1,0,0,0,0,3,2011-01-16
0,0,0,0,1,6554.22,No,2,2,0,0,0,1,0,1,0,25222,1,0,0,0,1,0,90,28,69,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,1,0,0,0,475.62,0,1,0,0,0,0,1,2011-01-27
1,0,0,0,0,7703.4,No,1,1,1,0,0,0,0,0,1,36765,1,0,0,1,0,0,66,15,32,1,2,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,0,1,0,0,320.85,0,1,0,0,0,0,2,2011-02-28
0,0,0,1,0,5926.73,Yes,2,2,0,0,0,0,1,0,1,23091,1,0,0,1,0,0,96,28,90,5,5,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,460.8,0,1,0,0,0,0,2,2011-01-25
0,0,0,1,0,2683.47,No,1,2,1,0,0,0,0,1,0,48269,0,0,1,1,0,0,69,3,79,3,1,1,0,0,0,0,1,0,0,0,0,0,0,Offer3,0,0,1,0,282.15,0,1,0,0,0,0,2,2011-01-01
0,0,0,0,1,2695.18,No,1,2,1,0,0,0,0,1,0,32720,1,0,0,0,0,1,67,13,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Offer3,0,0,0,1,321.6,0,1,0,0,0,0,2,2011-02-01
0,0,0,1,0,6047.03,Yes,2,2,1,0,0,0,0,0,1,20396,1,0,0,1,0,0,76,15,60,1,4,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,0,0,1,364.8,0,1,0,0,0,0,2,2011-02-19
0,0,0,0,1,13171.01,No,3,2,0,0,1,0,0,0,1,21513,1,0,0,1,0,0,119,21,81,1,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,679.83,1,0,0,0,0,0,1,2011-01-27
1,0,0,0,0,10656.88,Yes,2,2,1,0,0,0,0,1,0,72540,1,0,0,1,0,0,88,7,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Offer2,0,1,0,0,631.74,1,0,0,0,0,0,2,2011-02-27
0,0,0,0,1,2527.65,No,1,2,1,0,0,0,0,1,0,80744,0,1,0,1,0,0,63,24,84,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,11.88,0,1,0,0,0,0,2,2011-01-17
0,0,0,0,1,2672.1,No,1,2,1,0,0,0,0,0,1,52822,1,0,0,1,0,0,67,23,88,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Offer1,0,0,0,1,350.53,1,0,0,0,0,0,1,2011-02-10
0,0,0,1,0,5313.29,No,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,77,8,10,1,9,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,1,0,0,0,863.39,0,1,0,0,0,0,2,2011-01-24
0,0,0,0,1,20946.19,No,1,2,1,0,0,0,0,1,0,69738,1,0,0,1,0,0,74,2,26,1,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,0,0,1,492.13,0,1,0,0,0,0,3,2011-02-24
0,1,0,0,0,8375.35,No,1,3,0,0,1,0,0,1,0,17780,0,1,0,1,0,0,109,12,18,0,9,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,0,0,1,132.59,0,0,1,0,0,0,2,2011-02-15
0,0,0,1,0,4801.66,No,1,2,0,0,1,0,0,0,1,18107,1,0,0,1,0,0,62,29,11,0,8,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,1,0,0,0,297.6,0,1,0,0,0,0,2,2011-02-16
0,1,0,0,0,5745.94,No,1,2,1,0,0,0,0,1,0,57740,0,0,1,1,0,0,74,30,87,3,9,0,1,0,0,0,0,1,0,0,0,0,0,Offer3,0,0,1,0,269.91,0,1,0,0,0,0,2,2011-01-22
0,0,0,0,1,6066.12,No,2,2,1,0,0,0,0,0,1,32627,1,0,0,1,0,0,76,11,60,0,7,0,1,0,0,0,0,0,0,0,1,0,0,Offer1,1,0,0,0,380.04,1,0,0,0,0,0,1,2011-02-25
0,0,0,1,0,8002.31,Yes,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,107,3,65,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,513.6,0,0,1,0,0,0,2,2011-01-11
0,0,0,1,0,2393.92,Yes,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,70,24,10,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,0,0,0,1,425.27,0,1,0,0,0,0,2,2011-01-31
0,0,0,0,1,4762.82,No,1,2,1,0,0,0,0,0,1,65795,0,1,0,0,1,0,62,2,85,1,3,1,0,0,1,0,0,0,0,0,0,0,0,Offer3,0,1,0,0,49.01,1,0,0,0,0,0,2,2011-01-12
0,0,0,1,0,4330.39,Yes,3,2,1,0,0,0,0,0,1,60475,1,0,0,1,0,0,107,9,18,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,0,1,513.6,0,1,0,0,0,0,2,2011-02-16
0,0,0,1,0,9402.73,No,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,130,28,88,0,4,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,0,1,0,936.0,0,0,1,0,0,0,2,2011-02-09
0,0,0,0,1,6966.69,No,2,2,1,0,0,0,0,1,0,41837,0,1,0,1,0,0,88,29,93,0,9,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,0,1,0,0,142.06,0,1,0,0,0,0,1,2011-01-19
0,0,0,1,0,7694.06,No,1,2,1,0,0,0,0,1,0,32303,0,1,0,1,0,0,65,13,34,0,2,0,1,0,0,0,0,1,0,0,0,0,0,Offer3,0,0,0,1,45.15,0,1,0,0,0,0,2,2011-01-04
0,0,0,0,1,8717.56,No,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,117,5,89,1,3,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,561.6,0,0,1,0,0,0,2,2011-01-09
0,0,0,1,0,5928.75,No,1,2,1,0,0,0,0,1,0,40531,0,1,0,1,0,0,74,17,32,0,9,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,30.57,1,0,0,0,0,0,2,2011-01-27
